,0
662,5
663,11
664,12
665,0
666,5
667,8
668,6
669,7
670,8
671,14
672,13
673,10
674,0
675,1
676,3
677,13
678,2
679,8
680,7
681,11
682,0
683,1
684,12
685,11
686,2
687,12
688,8
689,12
690,7
691,14
692,12
693,14
694,1
695,7
696,1
697,7
698,10
699,8
700,0
701,8
702,0
703,14
704,6
705,5
706,10
707,7
708,7
709,2
710,7
711,1
712,0
713,0
714,4
715,0
716,13
717,8
718,7
719,7
720,1
721,14
722,1
723,1
724,10
725,11
726,7
727,11
728,12
729,4
730,13
731,7
732,8
733,3
734,2
735,13
736,5
737,8
738,2
739,0
740,6
741,13
742,6
743,2
744,0
745,11
746,3
747,1
748,7
749,2
750,0
751,7
752,1
753,12
754,7
755,0
756,1
757,2
758,3
759,4
760,3
761,1
762,1
763,7
764,7
765,0
766,13
767,4
768,7
769,2
770,13
771,11
772,4
773,4
774,1
775,7
776,11
777,10
778,0
779,11
780,7
781,11
782,0
783,11
784,12
785,7
786,4
787,7
788,2
789,3
790,1
791,0
792,0
793,0
794,11
795,0
796,8
797,0
798,0
799,1
800,0
801,11
802,0
803,10
804,2
805,5
806,0
807,4
808,6
809,7
810,0
811,11
812,7
813,0
814,1
815,6
816,13
817,1
818,5
819,0
820,10
821,0
822,7
823,12
824,8
825,3
826,0
827,0
828,6
829,0
830,3
831,0
832,10
833,2
834,0
835,8
836,0
837,10
838,5
839,0
840,5
841,13
842,4
843,12
844,4
845,1
846,5
847,0
848,11
849,8
850,7
851,10
852,14
853,0
854,12
855,0
856,1
857,10
858,5
859,6
860,13
861,11
862,8
863,13
864,3
865,0
866,6
867,0
868,10
869,0
870,0
871,0
872,10
873,14
874,8
875,0
876,1
877,5
878,0
879,10
880,11
881,14
882,0
883,10
884,10
885,5
886,8
887,3
888,8
889,0
890,3
891,3
892,14
893,0
894,7
895,3
896,2
897,8
898,13
899,2
900,12
901,5
902,7
903,13
904,13
905,5
906,4
907,4
908,0
909,6
910,0
911,14
912,0
913,10
914,7
915,12
916,4
917,10
918,0
919,5
920,12
921,13
922,7
923,13
924,13
925,3
926,10
927,0
928,14
929,0
930,4
931,14
932,5
933,12
934,0
935,13
936,3
937,0
938,5
939,8
940,4
941,5
942,0
943,8
944,10
945,8
946,3
947,4
948,1
949,0
950,1
951,13
952,8
953,6
954,10
955,5
956,0
957,0
958,3
959,7
960,4
961,14
962,13
963,11
964,5
965,4
966,6
967,0
968,10
969,0
970,14
971,0
972,1
973,8
974,10
975,5
976,13
977,1
978,8
979,1
980,5
981,10
982,0
983,11
984,4
985,5
986,13
987,0
988,14
989,12
990,3
991,13
992,2
993,13
994,8
995,0
996,3
997,11
998,3
999,4
1000,6
1001,8
1002,2
1003,3
1004,5
1005,12
1006,8
1007,0
1008,3
1009,2
1010,8
1011,8
1012,14
1013,6
1014,6
1015,2
1016,0
1017,5
1018,3
1019,11
1020,5
1021,14
1022,14
1023,6
1024,0
1025,8
1026,0
1027,10
1028,2
1029,14
1030,13
1031,10
1032,0
1033,4
1034,8
1035,3
1036,5
1037,13
1038,0
1039,5
1040,1
1041,13
1042,0
1043,7
1044,2
1045,6
1046,10
1047,0
1048,0
1049,0
1050,10
1051,4
1052,9
1053,10
1054,5
1055,4
1056,14
1057,0
1058,3
1059,10
1060,8
1061,8
1062,10
1063,7
1064,10
1065,12
1066,0
1067,0
1068,1
1069,1
1070,4
1071,5
1072,2
1073,5
1074,14
1075,7
1076,2
1077,4
1078,4
1079,7
1080,12
1081,0
1082,2
1083,0
1084,8
1085,7
1086,8
1087,7
1088,4
1089,0
1090,0
1091,1
1092,0
1093,8
1094,13
1095,7
1096,7
1097,1
1098,1
1099,6
1100,10
1101,0
1102,0
1103,7
1104,8
1105,13
1106,11
1107,10
1108,1
1109,0
1110,1
1111,5
1112,14
1113,0
1114,10
1115,1
1116,0
1117,0
1118,3
1119,3
1120,0
1121,12
1122,13
1123,8
1124,0
1125,0
1126,5
1127,6
1128,7
1129,0
1130,10
1131,0
1132,5
1133,0
1134,5
1135,8
1136,4
1137,2
1138,5
1139,14
1140,11
1141,3
1142,8
1143,13
1144,13
1145,12
1146,1
1147,14
1148,8
1149,10
1150,0
1151,13
1152,8
1153,7
1154,13
1155,8
1156,2
1157,10
1158,14
1159,11
1160,5
1161,4
1162,1
1163,14
1164,1
1165,13
1166,4
1167,10
1168,3
1169,6
1170,14
1171,4
1172,10
1173,0
1174,14
1175,8
1176,5
1177,5
1178,9
1179,7
1180,12
1181,2
1182,0
1183,11
1184,0
1185,7
1186,0
1187,13
1188,0
1189,0
1190,5
1191,12
1192,11
1193,3
1194,14
1195,1
1196,10
1197,7
1198,8
1199,8
1200,0
1201,14
1202,0
1203,0
1204,6
1205,13
1206,13
1207,5
1208,3
1209,4
1210,13
1211,6
1212,12
1213,5
1214,1
1215,10
1216,6
1217,13
1218,6
1219,6
1220,4
1221,8
1222,0
1223,6
1224,12
1225,3
1226,4
1227,11
1228,11
1229,0
1230,13
1231,4
1232,0
1233,5
1234,11
1235,13
1236,0
1237,4
1238,4
1239,8
1240,0
1241,11
1242,13
1243,1
1244,8
1245,14
1246,7
1247,3
1248,0
1249,2
1250,0
1251,5
1252,13
1253,8
1254,7
1255,2
1256,11
1257,8
1258,4
1259,0
1260,8
1261,1
1262,2
1263,8
1264,5
1265,0
1266,3
1267,3
1268,10
1269,13
1270,4
1271,11
1272,12
1273,8
1274,12
1275,0
1276,6
1277,12
1278,11
1279,5
1280,10
1281,8
1282,8
1283,8
1284,10
1285,0
1286,3
1287,13
1288,4
1289,1
1290,7
1291,11
1292,0
1293,10
1294,4
1295,3
1296,11
1297,8
1298,12
1299,0
1300,0
1301,6
1302,12
1303,13
1304,6
1305,13
1306,0
1307,0
1308,1
1309,3
1310,0
1311,7
1312,12
1313,4
1314,11
1315,11
1316,5
1317,0
1318,5
1319,8
1320,0
1321,3
1322,7
1323,8
1324,2
1325,0
1326,1
1327,0
1328,0
1329,7
1330,13
1331,4
1332,10
1333,0
1334,5
1335,10
1336,0
1337,8
1338,0
1339,5
1340,0
1341,0
1342,11
1343,5
1344,0
1345,1
1346,11
1347,0
1348,1
1349,4
1350,5
1351,0
1352,5
1353,4
1354,0
1355,3
1356,8
1357,10
1358,13
1359,6
1360,2
1361,4
1362,11
1363,2
1364,11
1365,0
1366,11
1367,1
1368,0
1369,7
1370,7
1371,7
1372,0
1373,0
1374,1
1375,2
1376,7
1377,1
1378,12
1379,8
1380,3
1381,0
1382,5
1383,13
1384,12
1385,3
1386,0
1387,2
1388,0
1389,3
1390,4
1391,6
1392,13
1393,11
1394,6
1395,11
1396,5
1397,10
1398,0
1399,2
1400,0
1401,2
1402,11
1403,9
1404,1
1405,1
1406,3
1407,8
1408,0
1409,3
1410,7
1411,8
1412,11
1413,1
1414,7
1415,11
1416,11
1417,11
1418,0
1419,11
1420,11
1421,11
1422,0
1423,10
1424,4
1425,13
1426,6
1427,11
1428,12
1429,0
1430,12
1431,13
1432,13
1433,0
1434,7
1435,10
1436,0
1437,1
1438,4
1439,13
1440,13
1441,1
1442,6
1443,4
1444,4
1445,0
1446,1
1447,1
1448,0
1449,11
1450,14
1451,10
1452,5
1453,13
1454,7
1455,6
1456,4
1457,8
1458,6
1459,13
1460,1
1461,12
1462,7
1463,5
1464,13
1465,7
1466,14
1467,0
1468,7
1469,13
1470,10
1471,13
1472,0
1473,8
1474,0
1475,12
1476,0
1477,13
1478,2
1479,13
1480,10
1481,13
1482,12
1483,0
1484,13
1485,0
1486,12
1487,2
1488,2
1489,4
1490,14
1491,2
1492,1
1493,12
1494,7
1495,12
1496,6
1497,1
1498,13
1499,8
1500,3
1501,8
1502,7
1503,4
1504,0
1505,10
1506,10
1507,10
1508,0
1509,0
1510,10
1511,8
1512,14
1513,1
1514,1
1515,1
1516,3
1517,4
1518,4
1519,8
1520,3
1521,0
1522,12
1523,8
1524,0
1525,1
1526,1
1527,0
1528,14
1529,12
1530,1
1531,7
1532,10
1533,0
1534,12
1535,4
1536,3
1537,5
1538,8
1539,14
1540,1
1541,3
1542,11
1543,5
1544,13
1545,7
1546,7
1547,0
1548,3
1549,10
1550,10
1551,2
1552,0
1553,1
1554,5
1555,0
1556,8
1557,3
1558,0
1559,11
1560,7
1561,10
1562,7
1563,1
1564,1
1565,0
1566,6
1567,1
1568,0
1569,3
1570,0
1571,0
1572,5
1573,2
1574,8
1575,12
1576,1
1577,5
1578,0
1579,12
1580,6
1581,4
1582,5
1583,10
1584,13
1585,11
1586,4
1587,8
1588,10
1589,1
1590,0
1591,14
1592,4
1593,6
1594,13
1595,10
1596,1
1597,1
1598,13
1599,10
1600,5
1601,11
1602,10
1603,0
1604,5
1605,8
1606,1
1607,14
1608,1
1609,2
1610,1
1611,8
1612,12
1613,13
1614,9
1615,0
1616,1
1617,2
1618,10
1619,2
1620,8
1621,3
1622,8
1623,8
1624,8
1625,0
1626,12
1627,2
1628,8
1629,6
1630,0
1631,9
1632,14
1633,11
1634,8
1635,4
1636,3
1637,11
1638,14
1639,5
1640,0
1641,10
1642,11
1643,0
1644,14
1645,6
1646,0
1647,14
1648,7
1649,6
1650,0
1651,2
1652,3
1653,6
1654,14
1655,13
1656,0
1657,6
1658,8
1659,8
1660,13
1661,1
1662,9
1663,0
1664,5
1665,0
1666,10
1667,7
1668,0
1669,13
1670,0
1671,0
1672,7
1673,0
1674,5
1675,0
1676,2
1677,10
1678,0
1679,3
1680,4
1681,0
1682,8
1683,4
1684,10
1685,0
1686,10
1687,9
1688,10
1689,0
1690,0
1691,0
1692,8
1693,14
1694,13
1695,13
1696,8
1697,7
1698,1
1699,10
1700,0
1701,8
1702,8
1703,10
1704,4
1705,13
1706,10
1707,5
1708,6
1709,8
1710,0
1711,11
1712,8
1713,4
1714,5
1715,13
1716,5
1717,1
1718,4
1719,4
1720,0
1721,8
1722,3
1723,11
1724,0
1725,4
1726,10
1727,1
1728,0
1729,8
1730,13
1731,10
1732,0
1733,7
1734,0
1735,0
1736,3
1737,1
1738,0
1739,5
1740,14
1741,0
1742,12
1743,7
1744,1
1745,8
1746,0
1747,0
1748,12
1749,1
1750,11
1751,11
1752,2
1753,13
1754,1
1755,11
1756,4
1757,1
1758,8
1759,2
1760,1
1761,5
1762,0
1763,0
1764,8
1765,1
1766,1
1767,7
1768,5
1769,4
1770,3
1771,7
1772,0
1773,8
1774,4
1775,7
1776,10
1777,12
1778,12
1779,5
1780,1
1781,4
1782,5
1783,13
1784,8
1785,14
1786,0
1787,5
1788,10
1789,7
1790,10
1791,0
1792,4
1793,7
1794,1
1795,5
1796,0
1797,0
1798,4
1799,8
1800,8
1801,3
1802,0
1803,8
1804,11
1805,4
1806,12
1807,13
1808,6
1809,7
1810,10
1811,0
1812,0
1813,1
1814,1
1815,7
1816,4
1817,0
1818,10
1819,6
1820,11
1821,0
1822,6
1823,4
1824,0
1825,4
1826,4
1827,5
1828,2
1829,8
1830,12
1831,5
1832,11
1833,6
1834,10
1835,0
1836,2
1837,11
1838,12
1839,0
1840,5
1841,0
1842,5
1843,8
1844,13
1845,1
1846,7
1847,0
1848,8
1849,4
1850,1
1851,12
1852,0
1853,13
1854,11
1855,0
1856,0
1857,6
1858,12
1859,8
1860,6
1861,0
1862,0
1863,12
1864,0
1865,12
1866,13
1867,4
1868,0
1869,5
1870,11
1871,14
1872,10
1873,14
1874,0
1875,0
1876,3
1877,1
1878,7
1879,4
1880,14
1881,6
1882,0
1883,7
1884,10
1885,6
1886,13
1887,11
1888,5
1889,6
1890,13
1891,5
1892,0
1893,3
1894,12
1895,3
1896,0
1897,0
1898,5
1899,4
1900,10
1901,0
1902,4
1903,11
1904,14
1905,0
1906,11
1907,2
1908,13
1909,4
1910,11
1911,0
1912,0
1913,10
1914,0
1915,6
1916,11
1917,2
1918,4
1919,0
1920,0
1921,13
1922,5
1923,3
1924,3
1925,4
1926,0
1927,0
1928,13
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,10
1937,0
1938,4
1939,8
1940,0
1941,10
1942,4
1943,4
1944,8
1945,5
1946,0
1947,8
1948,2
1949,8
1950,13
1951,14
1952,5
1953,3
1954,10
1955,14
1956,0
1957,8
1958,14
1959,3
1960,10
1961,0
1962,0
1963,4
1964,11
1965,0
1966,0
1967,11
1968,0
1969,8
1970,1
1971,0
1972,5
1973,0
1974,7
1975,0
1976,11
1977,1
1978,5
1979,12
1980,2
1981,0
1982,1
1983,6
1984,5
1985,0
1986,13
1987,4
1988,5
1989,6
1990,7
1991,11
1992,7
1993,13
1994,4
1995,5
1996,8
1997,0
1998,7
1999,6
2000,0
2001,0
2002,8
2003,0
2004,0
2005,1
2006,0
2007,7
2008,7
2009,12
2010,8
2011,11
2012,0
2013,7
2014,7
2015,0
2016,8
2017,14
2018,12
2019,3
2020,13
2021,7
2022,14
2023,1
2024,0
2025,4
2026,8
2027,7
2028,0
2029,14
2030,8
2031,14
2032,3
2033,8
2034,13
2035,4
2036,8
2037,12
2038,7
2039,7
2040,6
2041,7
2042,12
2043,1
2044,7
2045,5
2046,6
2047,11
2048,6
2049,7
2050,2
2051,5
2052,6
2053,13
2054,8
2055,1
2056,7
2057,5
2058,5
2059,10
2060,13
2061,14
2062,6
2063,1
2064,0
2065,1
2066,4
2067,0
2068,7
2069,3
2070,5
2071,4
2072,3
2073,0
2074,7
2075,7
2076,0
2077,1
2078,0
2079,0
2080,2
2081,8
2082,1
2083,6
2084,4
2085,11
2086,7
2087,1
2088,6
2089,0
2090,4
2091,7
2092,1
2093,10
2094,8
2095,1
2096,13
2097,14
2098,4
2099,8
2100,4
2101,7
2102,5
2103,3
2104,0
2105,1
2106,10
2107,0
2108,10
2109,0
2110,7
2111,1
2112,8
2113,0
2114,1
2115,14
2116,0
2117,12
2118,0
2119,0
2120,11
2121,5
2122,2
2123,4
2124,5
2125,2
2126,5
2127,4
2128,1
2129,8
2130,0
2131,10
2132,7
2133,5
2134,13
2135,5
2136,4
2137,0
2138,12
2139,14
2140,12
2141,2
2142,1
2143,4
2144,1
2145,4
2146,13
2147,13
2148,8
2149,0
2150,5
2151,11
2152,10
2153,3
2154,14
2155,2
2156,10
2157,7
2158,4
2159,4
2160,4
2161,13
2162,13
2163,0
2164,5
2165,7
2166,7
2167,0
2168,7
2169,0
2170,8
2171,2
2172,7
2173,6
2174,1
2175,3
2176,1
2177,14
2178,3
2179,14
2180,8
2181,0
2182,13
2183,1
2184,5
2185,0
2186,1
2187,12
2188,4
2189,0
2190,0
2191,4
2192,8
2193,11
2194,0
2195,2
2196,5
2197,8
2198,11
2199,1
2200,12
2201,10
2202,4
2203,1
2204,11
2205,5
2206,4
2207,11
2208,4
2209,5
2210,10
2211,10
2212,5
2213,4
2214,5
2215,10
2216,10
2217,9
2218,0
2219,0
2220,0
2221,11
2222,13
2223,8
2224,5
2225,8
2226,0
2227,4
2228,3
2229,4
2230,0
2231,13
2232,0
2233,0
2234,8
2235,11
2236,8
2237,12
2238,13
2239,0
2240,0
2241,10
2242,11
2243,0
2244,4
2245,8
2246,13
2247,11
2248,14
2249,0
2250,5
2251,10
2252,1
2253,4
2254,7
2255,1
2256,0
2257,0
2258,14
2259,0
2260,0
2261,0
2262,5
2263,6
2264,5
2265,0
2266,11
2267,1
2268,0
2269,14
2270,0
2271,14
2272,11
2273,4
2274,11
2275,0
2276,10
2277,14
2278,8
2279,7
2280,0
2281,5
2282,0
2283,7
2284,10
2285,10
2286,12
2287,8
2288,0
2289,7
2290,8
2291,2
2292,11
2293,0
2294,0
2295,6
2296,0
2297,5
2298,3
2299,0
2300,2
2301,0
2302,8
2303,4
2304,0
2305,10
2306,10
2307,4
2308,7
2309,1
2310,0
2311,5
2312,3
2313,10
2314,0
2315,3
2316,10
2317,0
2318,0
2319,0
2320,8
2321,10
2322,7
2323,14
2324,0
2325,10
2326,13
2327,5
2328,0
2329,4
2330,4
2331,8
2332,11
2333,5
2334,4
2335,2
2336,0
2337,1
2338,4
2339,14
2340,0
2341,4
2342,8
2343,10
2344,1
2345,13
2346,0
2347,0
2348,12
2349,14
2350,0
2351,5
2352,0
2353,0
2354,11
2355,10
2356,0
2357,5
2358,3
2359,0
2360,8
2361,0
2362,11
2363,0
2364,2
2365,0
2366,7
2367,0
2368,10
2369,0
2370,1
2371,2
2372,0
2373,1
2374,0
2375,4
2376,7
2377,13
2378,7
2379,10
2380,0
2381,11
2382,13
2383,12
2384,10
2385,12
2386,0
2387,2
2388,0
2389,10
2390,3
2391,7
2392,5
2393,13
2394,1
2395,10
2396,4
2397,0
2398,0
2399,0
2400,5
2401,10
2402,0
2403,7
2404,8
2405,14
2406,10
2407,8
2408,4
2409,0
2410,11
2411,5
2412,8
2413,5
2414,7
2415,6
2416,12
2417,0
2418,12
2419,6
2420,6
2421,2
2422,0
2423,0
2424,3
2425,7
2426,0
2427,8
2428,0
2429,8
2430,3
2431,11
2432,2
2433,13
2434,8
2435,10
2436,0
2437,10
2438,5
2439,0
2440,1
2441,12
2442,11
2443,11
2444,4
2445,12
2446,4
2447,3
2448,4
2449,10
2450,3
2451,7
2452,4
2453,4
2454,10
2455,10
2456,1
2457,1
2458,14
2459,0
2460,5
2461,1
2462,4
2463,7
2464,6
2465,0
2466,3
